Original_Item_Name,Normalised_Item_Name,Source_Type,Source_File,SKU_ID,Unique_SKU_Name,Mapping_Confidence,Review_Flag,Mapping_Reason
"WHEAT PBW 373","wheat pbw 373","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: WHE004 Wheat Bulk (38%); WHE007 Wheat — Not Available (38%); WHE003 Wheat Breeder PBW 502 — Not Available (35%) | impact: 1 row(s), 0 , ₹0"
"WHEAT PBW-502","wheat pbw-502","Godown Stock","Tally:U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: WHE003 Wheat Breeder PBW 502 — Not Available (55%); WHE004 Wheat Bulk (38%); WHE007 Wheat — Not Available (38%) | impact: 1 row(s), 0 , ₹0"
"Wheat Seeds (20 Kg)","wheat seeds (20 kg)","Godown Stock","Tally:U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: WHE004 Wheat Bulk (75%); WHE007 Wheat — Not Available (75%); WHE006 Wheat Vardhnam 301 — 20 Kg (40%) | impact: 1 row(s), 0 , ₹0"
"Chemical 18 Mt","chemical 18 mt","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"Maize (Chankya 4590)4 Kg*8 PKT","maize (chankya 4590)4 kg x 8 pkt","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAI004 Maize Chanakya 4590 — 4 Kg × 8 Pc (70%); MAI003 Maize Chanakya 4590 — 4 Kg × 10 Pc (57%); MAI009 Maize Hy.sultan 8199 — 4 Kg × 8 Pc (40%) | impact: 1 row(s), 0 , ₹0"
"Maize (Vasant Gold)","maize (vasant gold)","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAI002 Maize Bulk (38%); MAI016 Maize — Not Available (38%); MAI001 Maize Basant Gold 9180 — 4 Kg × 10 Pc (35%) | impact: 1 row(s), 0 , ₹0"
"Outer Bag/HDP Bags","outer baghdp bags","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC004 Hessian Bags (38%); PAC007 Outer Bag (38%); PAC008 P.P/HDPE BAGS (38%) | impact: 1 row(s), 0 , ₹0"
"Paddy Pb 1692","paddy pb 1692","Godown Stock","Tally:Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: PAD016 Paddy PB 1692 — 6 Kg × 5 Pc (75%); PAD017 Paddy PB 1692 — Not Available (75%); PAD003 Paddy 1692 Foundation — Not Available (45%) | impact: 1 row(s), 0 , ₹0"
"Pesticide","pesticide","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"Rubber Sterio","rubber sterio","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC019 RUBBER STEREO (50%) | impact: 1 row(s), 0 , ₹0"
"Seedworx Bond Yellow","seedwor x bond yellow","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 KGS, ₹0"
"Seedworx Vivid Red","seedwor x vivid red","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: SSG001 SSG RED KING — 4 Kg × 10 Pc (30%) | impact: 1 row(s), 0 , ₹0"
"Vardhnam-1107 Bajra 1.5 Kg Pouches","vardhnam-1107 bajra 1.5 kg pouches","Godown Stock","Tally:Telangana","BAJ002","Bajra Vardhnam 1107 — 1.5 Kg × 30 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 KGS, ₹0"
"Vardhnam-9090 Bajra 1.5 Kg Pouches","vardhnam-9090 bajra 1.5 kg pouches","Godown Stock","Tally:Telangana","BAJ003","Bajra Vardhnam 9090 — 1.5 Kg × 30 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 KGS, ₹0"
"Water Melon Yug","water melon yug","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH012 Watermelon Hy Yug — 50 Gm × 10 Pc (30%) | impact: 1 row(s), 0 , ₹0"
"WHEAT HD 2967(BULK)","wheat hd 2967(bulk)","Godown Stock","Tally:Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: WHE002 Wheat Breeder HD 2967 — Not Available (55%); WHE004 Wheat Bulk (38%); WHE007 Wheat — Not Available (38%) | impact: 1 row(s), 0 , ₹0"
