Original_Item_Name,Normalised_Item_Name,Source_Type,Source_File,SKU_ID,Unique_SKU_Name,Mapping_Confidence,Review_Flag,Mapping_Reason
"Watermelon (Black Wonder)50gm*10","watermelon (black wonder)50gm x 10","Sales/Godown Stock","Tally:U.P","OTH011","Watermelon Black Wonder — 50 Gm × 10 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 13.5 KGS, ₹1,81,650"
"Bittergourd Hyb.Abhi 50gm*10 Pc","bittergourd hyb.abhi 50gm x 10 pc","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH002 Bittergourd Hyabhi — 50 Gm × 10 Pc (40%); MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 4 row(s), 9.67 KGS, ₹1,71,085.17"
"Okra Hybrid Kasturi","okra hybrid kasturi","Sales/Godown Stock","Tally:U.P","OTH006","Okra Kasturi — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 39 KGS, ₹1,70,000"
"Wheat HD-2967 (40 Kg)","wheat hd-2967 (40 kg)","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: WHE002 Wheat Breeder HD 2967 — Not Available (55%); WHE004 Wheat Bulk (38%); WHE007 Wheat — Not Available (38%) | impact: 5 row(s), 4,000 KGS, ₹1,48,300"
"Paddy Pouch 6kg Green","paddy pouch 6kg green","Purchase/Godown Stock","Tally:Telangana","PAC012","Paddy Pouch 6kg Green — 6 Kg","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 10,610 NOS, ₹1,43,235"
"Bottlegourd Hyb.Nanda 50gm*10 Pc","bottlegourd hyb.nanda 50gm x 10 pc","Sales/Sales Return/Godown Stock","Tally:U.P","OTH004","Bottlegourd Nanda — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 4 row(s), 18.55 KGS, ₹1,25,821.14"
"Humic 98%(Krishi Vardhnam)500 Gm","humic 98(krishi vardhnam)500 gm","Sales/Sales Return/Godown Stock","Tally:U.P","OIN002","Humic 98% (Krishi Vardhnam)","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 6 row(s), 390 KGS, ₹1,18,689.9"
"Pumpkin Hy.Supertop 50gm*10 Pc","pumpkin hy.supertop 50gm x 10 pc","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH009 Spongegourd Hy. Ankita — 50 Gm × 10 Pc (55%); OTH012 Watermelon Hy Yug — 50 Gm × 10 Pc (55%); PAD010 Paddy Hy. Shankhnaad — 3 Kg × 10 Pc (43%) | impact: 4 row(s), 13.8 KGS, ₹1,15,050"
"Yellow Polymer","yellow polymer","Sales/Purchase/Godown Stock","Tally:Telangana/U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: TRT001 Seed Caoting Polymer (50%) | impact: 5 row(s), 425 KGS, ₹1,14,750"
"Mung (Samrat-PDM139)3Kg*10PKT","mung (samrat-pdm139)3kg x 10pkt","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 5 row(s), 561 KGS, ₹1,00,890"
"Maize Foundation( Male)","maize foundation( male)","Purchase/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAI002 Maize Bulk (38%); MAI016 Maize — Not Available (38%); PAD003 Paddy 1692 Foundation — Not Available (30%) | impact: 2 row(s), 400 KGS, ₹1,00,000"
"Paddy(Namo-369)3 Kg*12 Pc","paddy(namo-369)3 kg x 12 pc","Godown Stock","Tally:U.P/Telangana","PAD014","Paddy Namo 369 — 3 Kg × 12 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 693 KGS, ₹95,783.09"
"MAIZE CYLINDER","maize cylinder","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAI002 Maize Bulk (50%); MAI016 Maize — Not Available (50%); PAC013 Paddy Sharbati Cylinder (38%) | impact: 2 row(s), 0 , ₹93,337.5"
"Paddy(Aman)6 Kg*5 Pc","paddy(aman)6 kg x 5 pc","Sales/Sales Return/Godown Stock","Tally:U.P","PAD006","Paddy Aman — 6 Kg × 4 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 11 row(s), 840 KGS, ₹92,600"
"Radish Surekha(Palak Patta)100gm*10 Pc","radish surekha(palak patta)100gm x 10 pc","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 19 row(s), 322 KGS, ₹82,820.64"
"Wheat Breeder HD 2967","wheat breeder hd 2967","Purchase/Sales Return/Godown Stock","Tally:U.P","WHE002","Wheat Breeder HD 2967 — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 1,040 KGS, ₹81,320"
"Electronic Cylinders (Paddy 6 Kg)","electronic cylinders (paddy 6 kg)","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC011 Paddy Pouch 6kg Blue — 6 Kg (50%); PAC012 Paddy Pouch 6kg Green — 6 Kg (50%); PAD001 Paddy 1509 — 6 Kg × 4 Pc (28%) | impact: 1 row(s), 8 NOS, ₹81,312"
"Okra Hyb.Kasturi 100gm*10 Pc","okra hyb.kasturi 100gm x 10 pc","Sales/Sales Return/Godown Stock","Tally:U.P","OTH006","Okra Kasturi — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 11 KGS, ₹76,520"
"Okra Hy. Kasturi 50gm*10 Pc","okra hy. kasturi 50gm x 10 pc","Sales/Godown Stock","Tally:U.P","OTH006","Okra Kasturi — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 15.45 KGS, ₹74,160"
"Foundation Wheat-DBW187","foundation wheat-dbw187","Purchase/Godown Stock","Tally:U.P","WHE005","Wheat DBW 187 — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 800 KGS, ₹70,560"
"Foundation Wheat-DBW371","foundation wheat-dbw371","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: UNC002 Breeder Seed Dbw 371 (50%); WHE005 Wheat DBW 187 — Not Available (45%); WHE001 Wheat Breeder Dbw 187 — Not Available (35%) | impact: 2 row(s), 800 KGS, ₹70,560"
"Hand Held Moisture Tester Machine","hand held moisture tester machine","Purchase/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 2 row(s), 2 NOS, ₹70,000"
"HYBRID BAJRA SEED VARIETY - 84","hybrid bajra seed variety - 84","Sales/Purchase/Godown Stock","Tally:U.P/Telangana","BAJ004","Bajra — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 570 KGS, ₹68,400"
"HYBRID BAJRA SEED VARIETY - 90","hybrid bajra seed variety - 90","Sales/Purchase/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: BAJ001 Bajra 90 — Not Available (75%); BAJ004 Bajra — Not Available (75%) | impact: 6 row(s), 465 KGS, ₹54,825"
"Radish Surekha (Palak Patta)","radish surekha (palak patta)","Purchase/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH008 Radish — Not Available (31%) | impact: 3 row(s), 442 KGS, ₹50,828.51"
"Spongegourd Hyb. Ankita 50gm*10","spongegourd hyb. ankita 50gm x 10","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH009 Spongegourd Hy. Ankita — 50 Gm × 10 Pc (70%); MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 4 row(s), 6.95 KGS, ₹48,688.53"
"Bittergourd Hyb. Abhi 25gm*10 Pc","bittergourd hyb. abhi 25gm x 10 pc","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%); OTH002 Bittergourd Hyabhi — 50 Gm × 10 Pc (28%) | impact: 2 row(s), 2.75 KGS, ₹46,750"
"SSG( SUGAR GREEN) 4 KG*10 PC","ssg( sugar green) 4 kg x 10 pc","Sales/Godown Stock","Tally:U.P","SSG002","SSG SUGAR GREEN — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 520 KGS, ₹40,600"
"Printed Laminated Pouch (Red King)","printed laminated pouch (red king)","Godown Stock","Tally:Telangana","PAC018","Printed Laminated Pouch (White King)","High","No","AUTO-SUGGESTED 73% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 4,500 NOS, ₹40,500"
"Corrugated Box Mono Box","corrugated bo x mono bo x","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 3,665 PCS, ₹38,482.5"
"SSG (SWEETY) 4KG *10 PC","ssg (sweety) 4kg x 10 pc","Sales Return/Godown Stock","Tally:U.P","SSG003","SSG SWEETY — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 480 , ₹37,625"
"SSG (Hyb White King) 5Kg*10PKT","ssg (hyb white king) 5kg x 10pkt","Sales/Sales Return/Godown Stock","Tally:U.P/Telangana","SSG004","SSG WHITE KING — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 4 row(s), 325 KGS, ₹36,125"
"Printed Laminated Pouch (SSG Common)","printed laminated pouch (ssg common)","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC018 Printed Laminated Pouch (White King) (57%); PAC003 Flexible Laminated Printed Material (43%); PAC006 Laminated Sheets Packing Material (28%) | impact: 1 row(s), 3,850 NOS, ₹34,650"
"Wheat Packing Bag 20 Kg","wheat packing bag 20 kg","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: WHE006 Wheat Vardhnam 301 — 20 Kg (40%); PAC005 Humic Packing Bag (38%); PAC009 Packing Bag (38%) | impact: 2 row(s), 0 , ₹33,750"
"Printed Laminated Pouch (Chankya)","printed laminated pouch (chankya)","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC018 Printed Laminated Pouch (White King) (57%); PAC003 Flexible Laminated Printed Material (43%); PAC006 Laminated Sheets Packing Material (31%) | impact: 1 row(s), 3,031 NOS, ₹33,037.9"
"Urad (Alankar 2 Hara) 3Kg*10PKT","urad (alankar 2 hara) 3kg x 10pkt","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 5 row(s), 138 KGS, ₹27,060"
"SSG (Hyb Red King) 5Kg*10PKT","ssg (hyb red king) 5kg x 10pkt","Sales/Sales Return/Godown Stock","Tally:U.P/Telangana","SSG001","SSG RED KING — 4 Kg × 10 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 185 KGS, ₹26,150"
"Peddy Packing Bag 6Kg","peddy packing bag 6kg","Godown Stock","Tally:U.P","PAC014","Peddy Packing Bag 6Kg — 6 Kg","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 1,800 NOS, ₹26,100"
"Printed Laminated Pouch (Basant Gold)","printed laminated pouch (basant gold)","Godown Stock","Tally:Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: PAC018 Printed Laminated Pouch (White King) (57%); PAC003 Flexible Laminated Printed Material (43%); MAI001 Maize Basant Gold 9180 — 4 Kg × 10 Pc (40%) | impact: 1 row(s), 2,120 NOS, ₹23,108"
"Radish Surekha (200 Gm*5 Pc)","radish surekha (200 gm x 5 pc)","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (43%); OTH008 Radish — Not Available (38%) | impact: 3 row(s), 70 KGS, ₹22,200"
"Palak All Green  500gm*30 Pc","palak all green 500gm x 30 pc","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: SSG002 SSG SUGAR GREEN — 4 Kg × 10 Pc (30%) | impact: 7 row(s), 210 KGS, ₹20,775"
"VM-All GREEN","vm-all green","Sales/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%); MUS005 Mustard VM Nidhi — 1 Kg × 30 Pc (30%); SSG002 SSG SUGAR GREEN — 4 Kg × 10 Pc (30%) | impact: 3 row(s), 94.5 KGS, ₹19,845"
"Brinjal VM Super-7070 25gm*20 Pc","brinjal vm super-7070 25gm x 20 pc","Sales/Sales Return/Godown Stock","Tally:U.P","OTH005","Brinjal VM Super 7070 — 25 Gm × 20 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 4 row(s), 2.5 KGS, ₹11,550"
"Foundation Seed Packing Bags","foundation seed packing bags","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC004 Hessian Bags (38%); PAC005 Humic Packing Bag (38%); PAC008 P.P/HDPE BAGS (38%) | impact: 2 row(s), 400 NOS, ₹8,480"
"Bottlegourd Hybrid Nanda","bottlegourd hybrid nanda","Godown Stock","Tally:U.P","OTH004","Bottlegourd Nanda — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 19.1 KGS, ₹8,074.09"
"Urad Aazad-2(Black ) 3kg*10 Pkt.","urad aazad-2(black ) 3kg x 10 pkt.","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: OTH011 Watermelon Black Wonder — 50 Gm × 10 Pc (43%); MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 2 row(s), 36 KGS, ₹7,740"
"Wheat HD 2967","wheat hd 2967","Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: WHE002 Wheat Breeder HD 2967 — Not Available (55%); WHE004 Wheat Bulk (38%); WHE007 Wheat — Not Available (38%) | impact: 2 row(s), 40 , ₹7,151.96"
"BOTTLE GOURD(HY.NANDA)10gm*20","bottle gourd(hy.nanda)10gm x 20","Sales/Godown Stock","Tally:U.P","OTH004","Bottlegourd Nanda — Not Available","High","No","AUTO-SUGGESTED 60% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 1 KGS, ₹6,500"
"Foundation Wheat-DWRB137","foundation wheat-dwrb137","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD003 Paddy 1692 Foundation — Not Available (30%) | impact: 2 row(s), 80 KGS, ₹6,080"
"Mung VM-444","mung vm-444","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MUN001 Mung Bulk (38%); MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%); MUS005 Mustard VM Nidhi — 1 Kg × 30 Pc (30%) | impact: 2 row(s), 24 KGS, ₹4,680"
"Thiamethoxam","thiametho x am","Purchase/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 2 row(s), 10 LTR, ₹4,600"
"Corrugated Box 10 Kg","corrugated bo x 10 kg","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 1 row(s), 83 PCS, ₹4,440.5"
"Coriander Split","coriander split","Sales/Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 3 row(s), 10 KGS, ₹4,250"
"Okra OP Sohini 100gm*10 Pc","okra op sohini 100gm x 10 pc","Sales/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 2 row(s), 3 KGS, ₹3,750"
"Corrugated Carton 5Kg","corrugated carton 5kg","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (43%) | impact: 1 row(s), 94 PCS, ₹3,384"
"Mustard Breeder","mustard breeder","Purchase/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MUS001 Mustard Bulk (50%); MUS006 Mustard — Not Available (50%); UNC002 Breeder Seed Dbw 371 (38%) | impact: 2 row(s), 20 KGS, ₹2,710"
"Magic 2 Red 113","magic 2 red 113","Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: SSG001 SSG RED KING — 4 Kg × 10 Pc (30%) | impact: 1 row(s), 5 NOS, ₹1,625"
"Pumpkin Hybrid Super Top","pumpkin hybrid super top","Godown Stock","Tally:U.P","OTH007","Pumpkin Super Top — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0.15 KGS, ₹145.28"
"Beet Root Hybrid","beet root hybrid","Godown Stock","Tally:U.P/Telangana","OTH001","Beet Root — Not Available","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 0.05 KGS, ₹0"
"Bittergourd Hybrid Abhi","bittergourd hybrid abhi","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"Bottlegourd Hyb. Nanda 25gm*10","bottlegourd hyb. nanda 25gm x 10","Godown Stock","Tally:U.P","OTH004","Bottlegourd Nanda — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 , ₹0"
"Corrugated Carton 2.5Kg","corrugated carton 2.5kg","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"Corrugated Cartons","corrugated cartons","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"DTP","dtp","Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 2 row(s), 0 , ₹0"
"Ganga-13","ganga-13","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"HY.VM-LAKSHMI-1246","hy.vm-lakshmi-1246","Godown Stock","Tally:U.P/Telangana","MUS004","Mustard VM Lakshmi 1246 — 1 Kg × 30 Pc","High","No","AUTO-SUGGESTED 60% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 0 KGS, ₹0"
"Mustard Pila Sona","mustard pila sona","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MUS001 Mustard Bulk (38%); MUS006 Mustard — Not Available (38%); PAC016 Poly Pouch-Mustard (Lakshmi) (31%) | impact: 1 row(s), 0 KGS, ₹0"
"Okra Sohini","okra sohini","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: none | impact: 1 row(s), 0 , ₹0"
"Packing Container","packing container","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC005 Humic Packing Bag (50%); PAC009 Packing Bag (50%); PAC010 Packing Material (50%) | impact: 1 row(s), 0 , ₹0"
"Paddy(1509) 6 Kg*4 Pc.","paddy(1509) 6 kg x 4 pc.","Godown Stock","Tally:U.P","PAD001","Paddy 1509 — 6 Kg × 4 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 , ₹0"
"Paddy 1692 Foundation","paddy 1692 foundation","Godown Stock","Tally:U.P","PAD003","Paddy 1692 Foundation — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 , ₹0"
"Paddy (Aman)","paddy (aman)","Godown Stock","Tally:U.P/Telangana","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: PAD006 Paddy Aman — 6 Kg × 4 Pc (75%); PAD007 Paddy Aman — Not Available (75%); PAD025 Paddy — Not Available (50%) | impact: 2 row(s), 0 KGS, ₹0"
"Paddy (Aman)6 Kg*4 Pc.","paddy (aman)6 kg x 4 pc.","Godown Stock","Tally:U.P","PAD006","Paddy Aman — 6 Kg × 4 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 1 row(s), 0 , ₹0"
"Paddy Anam Plus(6 Kg*5 Pc)","paddy anam plus(6 kg x 5 pc)","Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD005 Paddy Aman Plus — 6 Kg × 5 Pc (70%); PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (70%); PAD004 Paddy Adiyogi — 6 Kg × 5 Pc (40%) | impact: 1 row(s), 0 , ₹0"
