voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
135,21,45931,2025-10-01 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN136","Sales",51960,"New Ref VAS 25-26/CN136 51,960.00 Cr","Being rate difference of bajra 1107 ( 540kg *70=37800), 9090 (354 kg*40 =14160 ) credit note given."
136,21,45931,2025-10-01 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN135","Sales",209250,"New Ref VAS 25-26/CN135 2,09,250.00 Cr","Being stock return and supply to devendra traders."
137,21,45931,2025-10-01 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN137","Sales",75000,"New Ref VAS 25-26/CN137 75,000.00 Cr","Being stock return and supply to devender traders."
139,21,45932,2025-10-02 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN139","Sales",168000,"New Ref VAS 25-26/CN139 1,68,000.00 Cr","Being stock return and supply to kaushambi for east up supply."
151,23,45958,2025-10-28 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN151","Sales",1700,"New Ref VAS 25-26/CN151 1,700.00 Cr","Being freight of stock supply is credited."
166,24,45992,2025-12-01 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN166","Sales",537630,"New Ref VAS 25-26/CN166 5,37,630.00 Cr","Being stock return at etah godown."
167,25,45992,2025-12-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN167","Sales",288580,"New Ref VAS 25-26/CN167 2,88,580.00 Cr","Being stock returna at ambedkar nagar godown."
168,25,45992,2025-12-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN168","Sales",74760,"New Ref VAS 25-26/CN168 74,760.00 Cr","Being stock return and supply to parties."
169,25,45992,2025-12-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN169","Sales",1920,"New Ref VAS 25-26/CN169 1,920.00 Cr","Being rate difference (450-386=64 kg *30 per kg )net rate 500 is credited."
170,25,45992,2025-12-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN170","Sales",4800,"New Ref VAS 25-26/CN170 4,800.00 Cr","Being freight of wheat and mustard is credited."
197,29,46037,2026-01-15 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","233","Sales",1000,"New Ref 233 1,000.00 Cr","Being freight of maize supply is credited."
200,29,46038,2026-01-16 00:00:00.000,"Swastik Khushi International","Credit Note","236","Sales",500,"New Ref 236 500.00 Cr","Being freight of maize supply is credited."
201,29,46038,2026-01-16 00:00:00.000,"12100 Om Sai Khad Beej Bhandar","Credit Note","237","Sales",500,"New Ref 237 500.00 Cr","Being freight of maize supply is credited."
202,29,46043,2026-01-21 00:00:00.000,"Shushil Krishi Sewa Kendra","Credit Note","237","Sales",97000,"New Ref 237 97,000.00 Cr","Being stock return at etah godown."
209,30,46071,2026-02-18 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","1450","Sales",491470,"New Ref 1450 4,91,470.00 Cr","Being stock return at Kaushambi godown."
218,31,46088,2026-03-07 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","259","Sales",1500,"New Ref 259 1,500.00 Cr","Being freight of stock supply is credited.."
221,32,46088,2026-03-07 00:00:00.000,"13300 Bajrang Traders","Credit Note","256","Sales",400,"New Ref 256 400.00 Cr","Being freight of stock supply is credited."
227,32,46091,2026-03-10 00:00:00.000,"Sarita Traders","Credit Note","","Sales",58150,"New Ref BILL 58,150.00 Cr","Being damage stock claim settled."
228,32,46092,2026-03-11 00:00:00.000,"Shivam Seeds & Pesticides","Credit Note","270","Sales",100,"New Ref 270 100.00 Cr","Being freight of stock supply is credited."
234,33,46099,2026-03-18 00:00:00.000,"13300 Bajrang Traders","Credit Note","279","Sales",100,"New Ref 279 100.00 Cr","Being freight of stock supply is creditd."
241,34,46100,2026-03-19 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","286","Sales",300,"New Ref 286 300.00 Cr","Being freight of stock supply is credited."
248,35,46105,2026-03-24 00:00:00.000,"Girja Trading Company(Gaurav)","Credit Note","288","Sales",1000,"New Ref 288 1,000.00 Cr","Being freight of sock supply is credited."
249,35,46106,2026-03-25 00:00:00.000,"Kisan Krishi Sewa Kendra(Atroliya)","Credit Note","15","Sales",6500,"New Ref 15 6,500.00 Cr","Being freight of stock supply is credit."
