voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
237,33,46099,2026-03-18 00:00:00.000,"Agriclinic And Agrijunction","Credit Note","276","Sales",500,"","Being freight of stock supply is credited."
238,34,46099,2026-03-18 00:00:00.000,"Jay Kisan Sewa Kendra","Credit Note","275","Sales",500,"","Being freight of stock supply is credited."
239,34,46099,2026-03-18 00:00:00.000,"Ma Purna Khad Bhandar & Pesticides","Credit Note","274","Sales",2500,"","Being freight of stock supply is credited."
240,34,46099,2026-03-18 00:00:00.000,"Pawan Vaishnavi Beej And Pasticides","Credit Note","273","Sales",4000,"","Being freight of stock supply is credited."
242,34,46100,2026-03-19 00:00:00.000,"Shri Ganga Agro Enterprise","Credit Note","285","Sales",2500,"","Being freight of stock supply is credited."
243,34,46100,2026-03-19 00:00:00.000,"Pratigya Beej & Khad Bhandar","Credit Note","284","Sales",500,"","Being freight of stock supply is credited."
244,34,46101,2026-03-20 00:00:00.000,"55500 Maurya Beej Bhandar (Bhadohi)","Credit Note","1519","Sales",212830,"","Being stock return at Kaushambi godown."
245,34,46101,2026-03-20 00:00:00.000,"55500 Maurya Beej Bhandar (Bhadohi)","Credit Note","","Sales",7200,"","Being freight of stock supply is credited."
246,35,46101,2026-03-20 00:00:00.000,"55500 Maurya Beej Bhandar (Bhadohi)","Credit Note","","Sales",2222,"","Being rate difference of (1111 kg*2 =2222) is credited."
247,35,46105,2026-03-24 00:00:00.000,"Purva Fertilizers","Credit Note","289","Sales",300,"","Being freight of stock supply is credited."
250,35,46106,2026-03-25 00:00:00.000,"55500 Maurya Beej Bhandar (Bhadohi)","Credit Note","15","Sales",3000,"","Being freight of stock supply is credited."
251,35,46106,2026-03-25 00:00:00.000,"Tiwari Beej Bhandar","Credit Note","2","Sales",3000,"","Being freight of stock supply is credited."
252,35,46107,2026-03-26 00:00:00.000,"New Kisan Beej Ghar(Mariyahu)","Credit Note","14","Sales",4000,"","Being freight of stock supply is credited."
253,35,46107,2026-03-26 00:00:00.000,"52100 Shiva Traders","Credit Note","12","Sales",450,"","Being freight of stock supply is credited."
254,35,46107,2026-03-26 00:00:00.000,"Naitik Beej Bhandar","Credit Note","10","Sales",3500,"","Being freight of stock supply is credited."
1,1,45767,2025-04-20 00:00:00.000,"Girja Trading Company(Gaurav)","Credit Note","VAS 25-25/CN 01","Sales",67200,"Agst Ref 1097 44,856.00 Dr | Agst Ref 291 11,144.00 Dr | Agst Ref 413 60,200.00 Cr | Agst Ref 416 63,000.00 Cr","Being stock return.at sarvoday godown."
2,1,45767,2025-04-20 00:00:00.000,"Girja Trading Company(Gaurav)","Credit Note","VAS 25-26/CN 02","Production Expenses",181500,"Agst Ref 416 35,000.00 Cr | Agst Ref 52 56,000.00 Cr | On Account 90,500.00 Cr","Being Jute bags (6000 pc*30.25 ) amount is adjusted."
3,1,45771,2025-04-24 00:00:00.000,"Puthiyabarai Vision Farmer Produer Company","Credit Note","VAS 25-26/CN 03","Sales",23100,"Agst Ref 185 23,100.00 Cr","Being stock return and supply to Veerpal Singh (Sarai Agust )."
